tensor(50.)
tensor(17.)
tensor(12.)
tensor(49.)
tensor(27.)
tensor(43.)
tensor(-3.)
tensor(10.)
tensor(16.)
tensor(-13.)
tensor(43.)
tensor(54.)
tensor(21.)
tensor(17.)
tensor(35.)
tensor(4.)
tensor(30.)
tensor(14.)
tensor(15.)
tensor(22.)
tensor(47.)
tensor(17.)
tensor(22.)
tensor(11.)
tensor(67.)
tensor(17.)
tensor(28.)
tensor(39.)
tensor(14.)
tensor(33.)
tensor(30.)
tensor(-20.)
tensor(31.)
tensor(14.)
tensor(-20.)
tensor(25.)
tensor(26.)
tensor(31.)
tensor(31.)
tensor(18.)
tensor(16.)
tensor(18.)
tensor(8.)
tensor(16.)
tensor(-18.)
tensor(1.)
tensor(11.)
tensor(34.)
tensor(7.)
tensor(17.)
